tipo_de_inmueble,direccion,area_construida,area_total,pisos,dormitorios,baños,cochera,precio_soles,precio_dolares
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",107.4,107.4,2,3,3,1,4266,1150
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",134.83,203.73,7,3,3,2,5936,1600
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Surquillo",76.31,76.31,5,3,2,0,2000,537
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",94.2,94.2,6,2,2,1,1075900,290000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",228.8,217.45,5,4,0,1,1187200,320000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",71.0,71.0,6,1,1,1,2671,720
CASA EN VENTA,"Lima, Prov. Const. Del Callao, Callao",160.0,122.0,1,3,2,3,593600,160000
CASA URBANA EN VENTA,"Lima, Lima, Lurigancho",400.0,300.0,3,7,3,3,1113000,300000
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, San Isidro",135.0,150.0,3,3,2,1,5500,1478
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",114.99,165.5,8,3,3,0,686350,185000
CASA URBANA EN VENTA,"Ica, Ica, Ica",419.02,276.35,2,7,3,0,1780800,480000
CASA URBANA EN ALQUILER,"Ica, Ica, Ica",419.02,276.35,2,7,3,1,4500,1209
CASA URBANA EN VENTA,"Ica, Ica, Ica",117.0,100.0,1,4,2,0,556500,150000
DEPARTAMENTO EN ALQUILER,"Ica, Ica, Ica",50.0,50.0,4,1,1,0,1000,268
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Isidro",283.0,298.7,6,3,2,2,2040500,550000
CASA EN VENTA,"Lima, Lima, Santiago de Surco",225.0,180.0,2,4,2,3,1836450,495000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Socabaya",146.4,80.0,1,3,2,1,474880,128000
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, Ventanilla",76.0,74.0,2,3,2,0,252280,68000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lince",113.0,113.0,0,4,2,0,3300,887
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Rimac",70.0,70.0,2,3,2,0,315350,85000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Isidro",140.0,140.0,1,7,1,0,7049,1900
DEPARTAMENTO EN VENTA,"Lima, Lima, La Molina",132.46,218.0,3,3,2,1,853300,230000
CASA URBANA EN VENTA,"Ica, Ica, Ica",419.02,276.35,2,7,3,0,1780800,480000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Ate",60.0,60.0,2,2,1,0,1200,322
DEPARTAMENTO FLAT EN ALQUILER,"Ica, Ica, Ica",140.0,160.0,1,3,2,0,1000,268
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",72.0,76.0,5,3,2,0,389550,105000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",114.99,165.5,8,3,3,0,686350,185000
CASA URBANA EN ALQUILER,"Ica, Ica, Ica",419.02,276.35,2,7,3,1,4500,1209
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Miraflores",103.0,108.0,2,2,3,0,4452,1200
CASA URBANA EN VENTA,"Lima, Lima, Los Olivos",120.0,298.0,5,14,10,0,1669500,450000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",74.0,74.0,8,2,2,2,2968,800
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Punta Hermosa",158.0,158.0,2,3,4,2,1257690,339000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Martin de Porres",80.0,80.0,3,2,1,0,800,215
DEPARTAMENTO EN ALQUILER,"Lima, Lima, San Borja",150.0,150.0,1,3,2,1,4081,1100
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Juan de Lurigancho",120.0,120.0,3,4,1,0,1000,268
CASA URBANA EN VENTA,"Ica, Ica, Ica",117.0,100.0,1,4,2,0,556500,150000
DEPARTAMENTO EN ALQUILER,"Ica, Ica, Ica",50.0,50.0,4,1,1,0,1000,268
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Borja",105.0,105.0,2,3,2,0,2782,750
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",66.0,66.0,9,3,2,1,408100,110000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Pueblo Libre",44.0,44.0,6,1,1,0,1600,430
CASA EN VENTA,"Lima, Cañete, Chilca",4.0,270.32,2,3,3,0,1150100,310000
CASA EN QUINTA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",1.0,371.61,2,4,3,0,6121500,1650000
CASA URBANA EN VENTA,"Ica, Ica, Ica",419.02,276.35,2,7,3,0,1780800,480000
CASA URBANA EN ALQUILER,"Arequipa, Arequipa, Arequipa",260.0,223.5,2,4,2,0,7000,1881
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Punta Hermosa",158.0,158.0,2,3,4,2,1257690,339000
CASA URBANA EN ALQUILER,"Ica, Ica, Ica",419.02,276.35,2,7,3,1,4500,1209
CASA URBANA EN VENTA,"Ica, Ica, Ica",117.0,100.0,1,4,2,0,556500,150000
DEPARTAMENTO EN ALQUILER,"Ica, Ica, Ica",50.0,50.0,4,1,1,0,1000,268
DEPARTAMENTO FLAT EN VENTA,"Cajamarca, Cajamarca, Los Baños del Inca",107.31,107.31,2,3,2,0,355789,95900
CASA EN VENTA,"Lima, Lima, La Molina",305.0,231.0,2,5,5,5,2114700,570000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Ate",60.0,60.0,2,2,1,0,1200,322
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Juan de Lurigancho",120.0,120.0,3,4,1,0,1000,268
CASA EN VENTA,"Lima, Prov. Const. Del Callao, Ventanilla",105.0,0.0,0,0,0,0,50000,13440
CASA EN VENTA,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",275.0,0.0,0,0,0,0,983150,265000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",145.52,184.27,6,4,5,1,771680,208000
CASA URBANA EN VENTA,"Lima, Lima, Miraflores",105.0,115.0,1,3,2,0,816200,220000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",145.52,184.27,6,4,5,1,771680,208000
